lemma,pos,freq,zipf
work,NOUN,586,5.627718403680512
someone,NOUN,582,5.624743772312309
fine,ADJ,578,5.62174862608295
please,VERB,575,5.619488632352051
problem,NOUN,575,5.619488632352051
own,ADJ,568,5.61416912337344
mom,NOUN,566,5.6126372188506926
dad,NOUN,565,5.611869235481859
else,ADV,564,5.611099891645763
idea,NOUN,561,5.608783648918582
hold,VERB,561,5.608783648918582
yourself,PRON,560,5.608008814668621
week,NOUN,560,5.608008814668621
long,ADJ,558,5.606454986599999
love,NOUN,554,5.60333055239085
move,VERB,548,5.59860134614679
forget,VERB,546,5.597013430367158
whole,ADJ,543,5.594620617251268
saw,VERB,539,5.59140955284916
miss,VERB,538,5.59060306332881
men,NOUN,532,5.585732419957469
head,NOUN,531,5.58491530874389
same,ADJ,530,5.58409665726321
okay,ADJ,526,5.58080653181616
wife,NOUN,525,5.579980091068378
gon,NOUN,520,5.57582413129722
best,ADJ,518,5.574150547407654
many,ADJ,512,5.569090748638252
sit,VERB,506,5.56397130450222
off,ADP,500,5.558790791998439
yet,ADV,498,5.557050130422138
hour,NOUN,498,5.557050130422138
send,VERB,497,5.556177176395753
come,NOUN,497,5.556177176395753
sir,VERB,496,5.555302464152618
listen,VERB,494,5.553547736586068
pay,VERB,492,5.551785890429781
together,ADV,491,5.550902279785389
turn,VERB,490,5.5500168676909345
school,NOUN,489,5.549129646786041
huh,NOUN,485,5.545562526264685
word,NOUN,482,5.54286782590127
child,NOUN,481,5.541965864036253
guess,NOUN,476,5.537427740382914
without,ADP,474,5.535599129336505
suppose,VERB,472,5.533762786296508
family,NOUN,469,5.5309936303775045
ready,ADJ,469,5.5309936303775045
worry,VERB,468,5.530066640736544
help,NOUN,466,5.528206704352421
business,NOUN,466,5.528206704352421
yes,ADV,466,5.528206704352421
eat,VERB,464,5.526338768217301
fuck,VERB,464,5.526338768217301
brother,NOUN,463,5.525401778680374
case,NOUN,461,5.523521713052069
break,VERB,460,5.522578619343995
eye,NOUN,458,5.52068626566629
lady,NOUN,456,5.518785630326856
tomorrow,NOUN,452,5.514959222473803
mind,NOUN,451,5.5139973295403815
happy,ADJ,449,5.512067128665744
fuck,NOUN,447,5.510128310794357
already,ADV,443,5.50622451388549
everybody,NOUN,438,5.50129489816652
actually,ADV,437,5.500302224632843
somebody,NOUN,437,5.500302224632843
once,ADV,437,5.500302224632843
door,NOUN,435,5.4983100446170585
up,ADV,431,5.494298057823152
matter,NOUN,430,5.493289243242008
only,ADJ,427,5.490248662687445
seem,VERB,427,5.490248662687445
tonight,NOUN,427,5.490248662687445
easy,ADJ,420,5.483070078060321
few,ADJ,417,5.479956842636178
watch,VERB,416,5.478914118289164
long,ADV,416,5.478914118289164
buy,VERB,407,5.469415196887641
myself,PRON,406,5.468346821239615
na,ADV,406,5.468346821239615
doctor,NOUN,405,5.46727581087709
until,ADP,405,5.46727581087709
since,ADP,404,5.466202152773025
honey,NOUN,403,5.465125833803531
story,NOUN,400,5.461880778990383
excuse,ADP,395,5.456417883288881
stand,VERB,394,5.455317009487995
part,NOUN,394,5.455317009487995
read,VERB,393,5.454213338037848
gun,NOUN,393,5.454213338037848
much,ADV,392,5.453106854682878
uh,ADJ,389,5.449770388988129
game,NOUN,388,5.448652513256628
hard,ADJ,386,5.446408092334176
question,NOUN,384,5.444152012029952
stuff,NOUN,384,5.444152012029952
point,NOUN,384,5.444152012029952
each,DET,383,5.4430195616310435
first,ADV,383,5.4430195616310435
anyone,NOUN,382,5.441884150574129
pretty,ADV,381,5.4407457633380405
ta,ADJ,380,5.439604384279231
write,VERB,378,5.437312587499647
heart,NOUN,377,5.436162137868213
nobody,NOUN,376,5.4350086325900815
town,NOUN,376,5.4350086325900815
five,NUM,376,5.4350086325900815
chance,NOUN,375,5.4338520553901395
probably,ADV,375,5.4338520553901395
change,VERB,373,5.4315296194711085
both,DET,371,5.429194697277467
walk,VERB,369,5.426847153821481
pick,VERB,367,5.42448685191451
second,ADJ,365,5.422113652118895
later,ADV,364,5.420922171311477
sure,NOUN,364,5.420922171311477
care,NOUN,362,5.4185293581955865
speak,VERB,361,5.417327989568078
call,NOUN,361,5.417327989568078
open,VERB,361,5.417327989568078
alone,ADV,360,5.416123288429708
four,NUM,359,5.41491523624074
save,VERB,358,5.413703814306295
young,ADJ,358,5.413703814306295
hit,VERB,358,5.413703814306295
number,NOUN,357,5.412489003774614
check,VERB,357,5.412489003774614
hurt,VERB,354,5.408824049688208
down,ADV,350,5.403888832012696
care,VERB,350,5.403888832012696
true,ADJ,349,5.4026462146216
under,ADP,348,5.401400031609001
phone,NOUN,348,5.401400031609001
soon,ADV,346,5.398896886455198
beautiful,ADJ,346,5.398896886455198
body,NOUN,344,5.396379230233951
marry,VERB,344,5.396379230233951
talk,NOUN,344,5.396379230233951
enough,ADV,343,5.395114907705191
sleep,VERB,343,5.395114907705191
dog,NOUN,341,5.392575166654918
party,NOUN,339,5.390020485865503
face,NOUN,338,5.388737487940076
far,ADV,338,5.388737487940076
everyone,NOUN,337,5.387450688533759
what,DET,336,5.386160065052265
most,ADV,336,5.386160065052265
line,NOUN,333,5.382265021168741
late,ADJ,333,5.382265021168741
high,ADJ,332,5.380958871366457
police,NOUN,331,5.3796487814381395
hope,VERB,330,5.378334727540309
bit,NOUN,329,5.377016685612395
as,NOUN,328,5.3756946313741
month,NOUN,325,5.371704148641295
book,NOUN,324,5.370365797869033
shut,VERB,323,5.369023309993524
couple,NOUN,323,5.369023309993524
shoot,VERB,323,5.369023309993524
water,NOUN,323,5.369023309993524
least,ADJ,322,5.367676659358252
exactly,ADV,320,5.364970765982327
reason,NOUN,318,5.362247907646854
death,NOUN,316,5.359507870280825
jack,NOUN,316,5.359507870280825
such,ADJ,313,5.355365125208869
uh,NOUN,313,5.355365125208869
trouble,NOUN,312,5.353975381680864
throw,VERB,311,5.352581176689259
ahead,ADV,308,5.348371504162865
order,NOUN,307,5.346959163139608
crazy,ADJ,306,5.345542214144001
show,NOUN,306,5.345542214144001
guy,VERB,304,5.3426943712711745
back,PRT,304,5.3426943712711745
important,ADJ,304,5.3426943712711745
up,ADP,303,5.341263416164725
win,VERB,300,5.336942042382083
deal,NOUN,300,5.336942042382083
whatever,DET,300,5.336942042382083
become,VERB,299,5.335491975986851
yeah,ADV,298,5.334037051738676
lie,VERB,298,5.334037051738676
person,NOUN,298,5.334037051738676
listen,NOUN,297,5.332577236979633
damn,NOUN,296,5.331112498721359
also,ADV,293,5.326688408016531
drive,VERB,292,5.325203639110839
stop,NOUN,292,5.325203639110839
anyway,ADV,289,5.320718630418969
cut,VERB,288,5.319213275421651
side,NOUN,287,5.317702684396413
wear,VERB,286,5.316186820791464
mrs.,NOUN,286,5.316186820791464
anybody,NOUN,285,5.314665647670931
get,NOUN,285,5.314665647670931
moment,NOUN,284,5.313139127709459
against,ADP,283,5.311607223186711
quite,ADV,282,5.310069895981782
end,NOUN,281,5.3085271075675005
move,NOUN,281,5.3085271075675005
fact,NOUN,276,5.300729869727639
shall,VERB,274,5.297571350482809
catch,VERB,273,5.295983434703177
while,ADP,273,5.295983434703177
set,VERB,273,5.295983434703177
mine,NOUN,272,5.29438969169662
office,NOUN,270,5.2911845518214085
between,ADP,270,5.2911845518214085
hot,ADJ,267,5.286332049026996
picture,NOUN,267,5.286332049026996
foot,NOUN,267,5.286332049026996
ago,ADV,265,5.2830666615992286
different,ADJ,265,5.2830666615992286
music,NOUN,265,5.2830666615992286
funny,ADJ,264,5.2814247145322515
'em,PRON,261,5.2764612950007015
away,PRT,260,5.274794135633239
husband,NOUN,260,5.274794135633239
plan,NOUN,260,5.274794135633239
gentleman,NOUN,260,5.274794135633239
follow,VERB,260,5.274794135633239
almost,ADV,259,5.273120551743673
six,NUM,258,5.271440493625651
sister,NOUN,257,5.269753910993716
fun,NOUN,255,5.266360968096376
fire,NOUN,255,5.266360968096376
hate,VERB,254,5.264654504282359
gon,ADJ,253,5.262941308838239
power,NOUN,253,5.262941308838239
expect,VERB,252,5.261221328443965
oh,ADJ,251,5.259494509143459
blood,NOUN,250,5.257760796334458
bye,NOUN,248,5.254272468488637
truth,NOUN,247,5.2525177409220865
white,ADJ,247,5.2525177409220865
drink,VERB,246,5.2507558947658
shot,NOUN,245,5.248986872026953
mind,VERB,244,5.24721061400115
back,NOUN,244,5.24721061400115
okay,ADP,243,5.245427061260733
figure,VERB,243,5.245427061260733
dinner,NOUN,243,5.245427061260733
news,NOUN,242,5.243636153642852
rest,NOUN,241,5.241837830237289
country,NOUN,240,5.240032029374027
wish,VERB,240,5.240032029374027
daughter,NOUN,240,5.240032029374027
fine,NOUN,239,5.238218688610559
drink,NOUN,239,5.238218688610559
sell,VERB,239,5.238218688610559
yours,NOUN,237,5.234569133672525
free,ADJ,237,5.234569133672525
serious,ADJ,236,5.232732790632528
okay,VERB,236,5.232732790632528
fight,VERB,236,5.232732790632528
behind,ADP,236,5.232732790632528
afraid,ADJ,234,5.229036645072564
black,ADJ,231,5.2234327675545655
'cause,ADP,231,5.2234327675545655
ball,NOUN,229,5.219656270002309
bitch,NOUN,228,5.217755634662875
jesus,NOUN,228,5.217755634662875
dream,NOUN,227,5.215846644855543
john,NOUN,226,5.213929226809822
mr,NOUN,225,5.212003305773783
finish,VERB,224,5.210068805996584
full,ADJ,224,5.210068805996584
anymore,ADV,224,5.210068805996584
company,NOUN,223,5.208125650710581
learn,VERB,223,5.208125650710581
captain,NOUN,222,5.2061737621130595
its,PRON,222,5.2061737621130595
oh,ADV,222,5.2061737621130595
stupid,ADJ,221,5.204213061347532
pull,VERB,221,5.204213061347532
kid,VERB,221,5.204213061347532
state,NOUN,220,5.202243468484627
date,NOUN,219,5.200264902502539
wonder,VERB,219,5.200264902502539
food,NOUN,219,5.200264902502539
light,NOUN,217,5.196280521510951
mr.,ADJ,217,5.196280521510951
bed,NOUN,217,5.196280521510951
enough,ADJ,216,5.194274538813351
city,NOUN,216,5.194274538813351
paper,NOUN,216,5.194274538813351
over,PRT,216,5.194274538813351
team,NOUN,215,5.1922592475780265
sound,VERB,215,5.1922592475780265
sometimes,ADV,214,5.190234561011612
cop,NOUN,213,5.188200391101159
daddy,NOUN,213,5.188200391101159
miss,NOUN,213,5.188200391101159
michael,NOUN,212,5.186156648591172
war,NOUN,212,5.186156648591172
lord,NOUN,212,5.186156648591172
hold,NOUN,211,5.184103242960114
movie,NOUN,210,5.18204008239634
though,ADP,210,5.18204008239634
perhaps,ADV,210,5.18204008239634
wow,NOUN,207,5.175791133119339
spend,VERB,206,5.173688008031574
street,NOUN,206,5.173688008031574
hair,NOUN,206,5.173688008031574
special,ADJ,204,5.16945095508832
most,ADJ,203,5.167316825575634
hang,VERB,203,5.167316825575634
small,ADJ,203,5.167316825575634
promise,VERB,203,5.167316825575634
safe,ADJ,201,5.163016845082909
fly,VERB,201,5.163016845082909
fall,VERB,200,5.160850783326402
inside,ADP,200,5.160850783326402
parent,NOUN,200,5.160850783326402
dr.,NOUN,198,5.156485977923952
front,NOUN,198,5.156485977923952
ah,NOUN,197,5.154287013824014
watch,NOUN,196,5.152076859018897
president,NOUN,195,5.149855399024939
able,ADJ,195,5.149855399024939
hurry,NOUN,194,5.147622517592647
alive,ADJ,194,5.147622517592647
lucky,ADJ,194,5.147622517592647
horse,NOUN,194,5.147622517592647
wake,VERB,194,5.147622517592647
piece,NOUN,194,5.147622517592647
york,NOUN,193,5.1453780966701945
explain,VERB,193,5.1453780966701945
ta,ADV,193,5.1453780966701945
george,NOUN,192,5.143122016365971
officer,NOUN,192,5.143122016365971
coffee,NOUN,192,5.143122016365971
while,NOUN,191,5.140854154910148
clear,ADJ,191,5.140854154910148
decide,VERB,191,5.140854154910148
sex,NOUN,191,5.140854154910148
wonderful,ADJ,190,5.1385743886152495
open,ADJ,190,5.1385743886152495
yes,X,190,5.1385743886152495
human,ADJ,190,5.1385743886152495
ship,NOUN,189,5.136282591835665
law,NOUN,189,5.136282591835665
himself,PRON,188,5.1339786369261
steal,VERB,187,5.13166239419892
sort,NOUN,187,5.13166239419892
air,NOUN,186,5.129333731880337
feeling,NOUN,185,5.126992516065434
record,NOUN,184,5.1246386106719575
luck,NOUN,184,5.1246386106719575
card,NOUN,183,5.12227187739285
arm,NOUN,183,5.12227187739285
yeah,VERB,183,5.12227187739285
end,VERB,181,5.117499362531605
begin,VERB,181,5.117499362531605
sing,VERB,181,5.117499362531605
joe,NOUN,181,5.117499362531605
drop,VERB,180,5.115093292765727
pass,VERB,177,5.107794054024227
bill,NOUN,177,5.107794054024227
whoa,NOUN,177,5.107794054024227
kiss,VERB,177,5.107794054024227
letter,NOUN,177,5.107794054024227
fix,VERB,176,5.105333455476571
poor,ADJ,176,5.105333455476571
um,ADJ,175,5.102858836348715
glad,ADJ,175,5.102858836348715
handle,VERB,175,5.102858836348715
star,NOUN,174,5.10037003594502
touch,VERB,173,5.097866890791217
grow,VERB,173,5.097866890791217
mistake,NOUN,173,5.097866890791217
sick,ADJ,173,5.097866890791217
l,NOUN,171,5.092816898054575
road,NOUN,171,5.092816898054575
stick,VERB,171,5.092816898054575
blow,VERB,171,5.092816898054575
song,NOUN,171,5.092816898054575
sense,NOUN,170,5.090269709040695
king,NOUN,170,5.090269709040695
message,NOUN,169,5.0877074922760945
felt,VERB,169,5.0877074922760945
answer,NOUN,168,5.085130069388284
class,NOUN,168,5.085130069388284
certainly,ADV,168,5.085130069388284
around,PRT,167,5.082537258810004
somewhere,ADV,167,5.082537258810004
close,VERB,167,5.082537258810004
fucking,NOUN,167,5.082537258810004
around,ADV,166,5.079928875702476
sound,NOUN,166,5.079928875702476
build,VERB,165,5.077304731876327
guess,VERB,164,5.074664635710119
rather,ADV,164,5.074664635710119
hospital,NOUN,164,5.074664635710119
sweet,ADJ,163,5.072008392066379
red,ADJ,162,5.069335802205051
ok,ADJ,161,5.066646663694271
ok,NOUN,161,5.066646663694271
charge,NOUN,161,5.066646663694271
mr.,VERB,160,5.063940770318346
bank,NOUN,160,5.063940770318346
bos,NOUN,160,5.063940770318346
oh,VERB,159,5.061217911982872
cool,ADJ,159,5.061217911982872
trust,VERB,159,5.061217911982872
pain,NOUN,158,5.058477874616844
mile,NOUN,158,5.058477874616844
meeting,NOUN,158,5.058477874616844
fault,NOUN,158,5.058477874616844
thought,NOUN,158,5.058477874616844
key,NOUN,157,5.055720440071655
perfect,ADJ,157,5.055720440071655
finally,ADV,157,5.055720440071655
down,ADP,157,5.055720440071655
beat,VERB,156,5.052945386016883
fire,VERB,156,5.052945386016883
absolutely,ADV,155,5.0501524858327125
partner,NOUN,155,5.0501524858327125
busy,ADJ,155,5.0501524858327125
christmas,NOUN,155,5.0501524858327125
teach,VERB,154,5.047341508498884
ta,NOUN,154,5.047341508498884
stay,NOUN,154,5.047341508498884
lawyer,NOUN,154,5.047341508498884
plane,NOUN,154,5.047341508498884
court,NOUN,154,5.047341508498884
change,NOUN,154,5.047341508498884
brain,NOUN,152,5.041664375607193
quiet,ADJ,152,5.041664375607193
window,NOUN,152,5.041664375607193
agent,NOUN,151,5.03879773495559
hey,VERB,151,5.03879773495559
ha,NOUN,151,5.03879773495559
box,NOUN,150,5.035912046718102
choice,NOUN,150,5.035912046718102
general,ADJ,149,5.033007056074695
bag,NOUN,149,5.033007056074695
smart,ADJ,149,5.033007056074695
thank,VERB,148,5.030082503057378
goddamn,NOUN,148,5.030082503057378
along,ADP,148,5.030082503057378
million,NUM,148,5.030082503057378
carry,VERB,148,5.030082503057378
seat,NOUN,148,5.030082503057378
matter,VERB,148,5.030082503057378
okay,ADV,147,5.027138122410597
wall,NOUN,147,5.027138122410597
enjoy,VERB,147,5.027138122410597
realize,VERB,147,5.027138122410597
scar,VERB,146,5.024173643446858
report,NOUN,146,5.024173643446858
bear,VERB,146,5.024173643446858
dance,VERB,146,5.024173643446858
except,ADP,145,5.021188789897396
dollar,NOUN,145,5.021188789897396
earth,NOUN,144,5.018183279757671
pretty,ADJ,144,5.018183279757671
rule,NOUN,144,5.018183279757671
cry,VERB,144,5.018183279757671
others,NOUN,144,5.018183279757671
bet,VERB,144,5.018183279757671
join,VERB,143,5.015156825127483
try,NOUN,143,5.015156825127483
i�m,NOUN,143,5.015156825127483
burn,VERB,143,5.015156825127483
close,ADJ,143,5.015156825127483
turn,NOUN,142,5.012109132045477
miss,ADJ,142,5.012109132045477
agree,VERB,142,5.012109132045477
careful,ADJ,142,5.012109132045477
check,NOUN,141,5.0090399003178
hmm,NOUN,141,5.0090399003178
kick,VERB,141,5.0090399003178
close,ADV,141,5.0090399003178
hotel,NOUN,141,5.0090399003178
unless,ADP,141,5.0090399003178
leg,NOUN,141,5.0090399003178
na,ADJ,140,5.005948823340659
table,NOUN,140,5.005948823340659
frank,NOUN,140,5.005948823340659
system,NOUN,140,5.005948823340659
seven,NUM,139,5.002835587916516
floor,NOUN,139,5.002835587916516
owe,VERB,139,5.002835587916516
clothes,NOUN,139,5.002835587916516
act,VERB,139,5.002835587916516
dance,NOUN,139,5.002835587916516
service,NOUN,139,5.002835587916516
sign,NOUN,139,5.002835587916516
evening,NOUN,139,5.002835587916516
hide,VERB,138,4.999699874063658
attention,NOUN,138,4.999699874063658
ago,ADP,138,4.999699874063658
half,NOUN,138,4.999699874063658
tree,NOUN,138,4.999699874063658
possible,ADJ,138,4.999699874063658
master,NOUN,137,4.996541354818827
uncle,NOUN,137,4.996541354818827
none,NOUN,137,4.996541354818827
terrible,ADJ,137,4.996541354818827
test,NOUN,137,4.996541354818827
voice,NOUN,137,4.996541354818827
yesterday,NOUN,136,4.9933596960326385
truck,NOUN,136,4.9933596960326385
information,NOUN,136,4.9933596960326385
strong,ADJ,136,4.9933596960326385
major,ADJ,136,4.9933596960326385
swear,VERB,135,4.990154556157427
age,NOUN,135,4.990154556157427
till,NOUN,135,4.990154556157427
mark,NOUN,135,4.990154556157427
boat,NOUN,135,4.990154556157427
promise,NOUN,135,4.990154556157427
eight,NUM,134,4.986925586027229
bar,NOUN,134,4.986925586027229
outside,ADP,134,4.986925586027229
dude,NOUN,133,4.983672428629506
na,NOUN,133,4.983672428629506
mama,NOUN,133,4.983672428629506
murder,NOUN,133,4.983672428629506
uh,VERB,133,4.983672428629506
drug,NOUN,133,4.983672428629506
situation,NOUN,133,4.983672428629506
reach,VERB,132,4.98039471886827
darling,VERB,132,4.98039471886827
return,VERB,132,4.98039471886827
american,ADJ,132,4.98039471886827
knock,VERB,132,4.98039471886827
break,NOUN,132,4.98039471886827
weapon,NOUN,132,4.98039471886827
answer,VERB,131,4.977092083318185
tough,ADJ,131,4.977092083318185
future,NOUN,131,4.977092083318185
tv,NOUN,131,4.977092083318185
glass,NOUN,130,4.973764139969258
buddy,NOUN,130,4.973764139969258
goodbye,NOUN,130,4.973764139969258
need,NOUN,130,4.973764139969258
allow,VERB,130,4.973764139969258
short,ADJ,130,4.973764139969258
mouth,NOUN,129,4.9704104979616694
