word,pos,cefr,zipf,zipf_rank
professional,adj,A2,4.422908344950959,743
running,noun,A2,3.8603854603345034,2181
lift,verb,A2,4.513864494205295,588
offer,verb,A2,4.867996511326149,221
offer,noun,A2,4.607672772572142,447
professor,noun,A2,4.334698334484249,916
sadly,adv,A2,3.6671648746922374,2725
light,verb,A2,4.188167614973819,1253
officer,noun,A2,4.951595608536756,150
profile,noun,A2,4.157196045469138,1339
safe,adj,A2,5.171201952658565,77
light,adj,A2,5.104313807884148,91
oil,noun,A2,4.550630505297045,530
progress,noun,A2,4.273879728180402,1043
sail,verb,A2,4.105134005449751,1484
likely,adj,A2,4.370233784873701,832
promise,verb,A2,5.238994137563832,60
promise,noun,A2,4.5676732602964165,498
sailing,noun,A2,3.81222190000795,2330
link,noun,A2,4.005827406641137,1791
link,verb,A2,3.8780182400071306,2134
opportunity,noun,A2,4.652118746336399,401
pronounce,verb,A2,3.8591840917069957,2187
salary,noun,A2,4.061344734490968,1600
listener,noun,A2,3.477768148857019,3186
option,noun,A2,4.447494604293166,702
protect,verb,A2,5.003935052963432,123
sale,noun,A2,4.5697866196098165,496
little,adv,A2,5.517102937595105,16
ordinary,adj,A2,4.2275044644260795,1169
provide,verb,A2,4.5328915377639385,553
sauce,noun,A2,4.190978592307648,1249
lock,verb,A2,5.035195141235825,111
lock,noun,A2,4.161415455998485,1323
organization,noun,A2,4.174415717274006,1291
public,adj,A2,4.796665863484506,268
public,noun,A2,3.366134879028256,3431
save,verb,A2,5.4246459841950845,29
look,noun,A2,5.169850930660976,79
organize,verb,A2,4.268287876483272,1061
publish,verb,A2,4.1112366044366055,1467
scared,adj,A2,5.109414811815439,89
lost,adj,A2,3.7314291698037456,2560
original,adj,A2,4.404110595482674,772
pull,verb,A2,5.361543110212278,40
scary,adj,A2,4.42618111463562,736
loud,adj,A2,4.630056493240075,424
loud,adv,A2,3.2884486240675823,3608
purpose,noun,A2,4.604872947221827,452
scene,noun,A2,4.907735639211652,185
loudly,adv,A2,3.412266600100587,3336
outside,noun,A2,2.2047668767932813,4351
outside,adj,A2,3.9421583267717595,1956
push,verb,A2,5.043851933025015,109
schedule,noun,A2,4.476318082461786,659
low,adj,A2,4.922541365066459,172
low,adv,A2,3.3508949124715195,3469
oven,noun,A2,3.964434721482912,1896
quality,noun,A2,4.3359041505718885,912
score,verb,A2,4.170908609532313,1302
score,noun,A2,4.463344302239074,677
luck,noun,A2,5.18077276930141,74
overseas,adv,A2,2.1467749298155945,4358
quantity,noun,A2,3.4156202421081745,3330
screen,noun,A2,4.405138511896043,771
lucky,adj,A2,5.092595085015915,94
own,verb,A2,4.531358732119013,559
queen,noun,A2,4.5339104109160715,550
sea,noun,A2,4.729000676158584,319
mail,noun,A2,4.501432067054813,607
mail,verb,A2,3.799987443590938,2366
owner,noun,A2,4.441870568379969,710
question,verb,A2,4.514663074538006,587
search,noun,A2,4.517314453236399,582
search,verb,A2,4.560314172525414,512
major,adj,A2,4.658276325526309,395
pack,verb,A2,4.59768355911501,459
quietly,adv,A2,4.096861479483762,1503
season,noun,A2,4.492008587971629,626
male,adj,A2,4.483234663664124,642
male,noun,A2,3.559355464670522,2978
pain,noun,A2,4.976905143394402,140
race,noun,A2,4.768692708239773,295
race,verb,A2,4.248620160499163,1115
seat,noun,A2,4.975526867144287,141
manage,verb,A2,4.640332555380038,414
painter,noun,A2,3.8982739854277977,2082
railroad,noun,A2,4.03807339207798,1681
second,adv,A2,3.95968828645845,1904
manager,noun,A2,4.563890595277755,508
palace,noun,A2,4.132265558486482,1403
raise,verb,A2,4.947688299392577,153
secret,adj,A2,4.923579850692568,171
secret,noun,A2,4.584978118504887,478
manner,noun,A2,4.370233784873701,832
parking,noun,A2,4.406505293454993,768
rate,noun,A2,4.46810700364462,671
